drug_kegg_id,target_ko_number
D01196,K18245
D00740,K04838
D08127,K04834
D02182,K04838
D02301,K02469
D00756,K04135
D08057,K04145
D00604,K04140
D00740,K04840
D02182,K04837
D10878,K02622
D02086,K04838
D02071,K04131
D01512,K04141
D08319,K04842
D05679,K08556
D00410,K00497
D01002,K04131
D09330,K02470
D08872,K02470
D00524,K04130
D06274,K04262
D08685,K04140
D09330,K02469
D00652,K18245
D02220,K04837
D02182,K04834
D02174,K05771
D07759,K04133
D01976,K04131
D09570,K04149
D02182,K05037
D02983,K04226
D11700,K05031
D00424,K03040
D08538,K00796
D00321,K12344
D07624,K04141
D00110,K05037
D00999,K04132
D00358,K04842
D01621,K08529
D03442,K04194
D08448,K04837
D11517,K05448
D10750,K05917
D10528,K08555
D00294,K05032
D04489,K06466
D00138,K04129
D07817,K11987
D01996,K02621
D01273,K05771
D02475,K02622
D08362,K04138
D00551,K04840
D09872,K02110
D11544,K00706
D02124,K18964
D06543,K08529
D08104,K11987
D02182,K05036
D02983,K04227
D00981,K05771
D01025,K04136
D11033,K04218
D02374,K04141
D08127,K04840
D01348,K04145
D07431,K04220
D00551,K04842
D04104,K08556
D08362,K04140
D08448,K04838
D00473,K05771
D01442,K05771
D08237,K02470
D07439,K13296
D02086,K04837
D12599,K04262
D00110,K04841
D11130,K02089
D07819,K00509
D05386,K05448
D08247,K04215
D01002,K04129
D07417,K04200
D08685,K04138
D08207,K04139
D02307,K02470
D00416,K05917
D02108,K04221
D00141,K11987
D01025,K04143
D09574,K05448
D01476,K08557
D01737,K08557
D00743,K04137
D00999,K04133
D01996,K02622
D08685,K04139
D07226,K04131
D08166,K08556
D00604,K04139
D08448,K04843
D08293,K04149
D01357,K05771
D07919,K08550
D00757,K04139
D03593,K04200
D00113,K04132
D08127,K04833
D06269,K04247
D07624,K04142
D00358,K04840
D02071,K04132
D04445,K04151
D02070,K04132
D02475,K02469
D11613,K03990
D00358,K04843
D01632,K05771
D02577,K04157
D06606,K11987
D01621,K08527
D00599,K04143
D02182,K04842
D08237,K02469
D07439,K18436
D00113,K04133
D01008,K04138
D07817,K00509
D03826,K01049
D00732,K04834
D04488,K04144
D10878,K02470
D00946,K08551
D00741,K04838
D08127,K04836
D07540,K04140
D01163,K04138
D00234,K04149
D00756,K04137
D05338,K05093
D05230,K04218
D07431,K04218
D06177,K05004
D07790,K04149
D04430,K04247
D08669,K04813
D10563,K04284
D00518,K18246
D08127,K04837
D08115,K04141
D08115,K04143
D00956,K08557
D04254,K18964
D07124,K04135
D00110,K04842
D02220,K04840
D00165,K05771
D06876,K05771
D07759,K04129
D00741,K04833
D00554,K08550
D09330,K02621
D01689,K05771
D02220,K04833
D01601,K00796
D07431,K04221
D01025,K04142
D00110,K04836
D00757,K04137
D02004,K04145
D08365,K04137
D04525,K14592
D03561,K05771
D07826,K08551
D00756,K04136
D01995,K19376
D00110,K05036
D03905,K04578
D01501,K11611
D05478,K04130
D07702,K02470
D03648,K04136
D00284,K04200
D08422,K04837
D00604,K04138
D06177,K05032
D00110,K04843
D00358,K04836
D00128,K06153
D00948,K08551
D07249,K18964
D07439,K13293
D01512,K04142
D01163,K04139
D08324,K00509
D00138,K04131
D05957,K00796
D09336,K04280
D08115,K04136
D08127,K04842
D03835,K22599
D08366,K04136
D08422,K04842
D00356,K04262
D00753,K07203
D01163,K04140
D02073,K04258
D00095,K04135
D02983,K04228
D00732,K04840
D08422,K04838
D08966,K04137
D08319,K04841
D00358,K04841
D00327,K08557
D04524,K06499
D07989,K22775
D00990,K04280
D08207,K04137
D03399,K04262
D08465,K08551
D11785,K05917
D10433,K04143
D04157,K04142
D08207,K04140
D08362,K04137
D00998,K01049
D00551,K04836
D09916,K05031
D02070,K04130
D04970,K04133
D00110,K04833
D04218,K05771
D02123,K02621
D00958,K08557
D08414,K05771
D01512,K04143
D07496,K04142
D00996,K04139
D07958,K04149
D02187,K00790
D00996,K04136
D00948,K08550
D08669,K04806
D07929,K04215
D00655,K18245
D00176,K04282
D08281,K08556
D00110,K04840
D11031,K17388
D09330,K02622
D00322,K05917
D08872,K02621
D01572,K01049
D00988,K04280
D00741,K04840
D00358,K04833
D08207,K04135
D01621,K08528
D02149,K04138
D04445,K04149
D00741,K04836
D00518,K01672
D08319,K04840
D01429,K05917
D00743,K04136
D01565,K00509
D00358,K04834
D11061,K07433
D00659,K04149
D02081,K04141
D08422,K04833
D00524,K04131
D01340,K04213
D00962,K08551
D10566,K04219
D02086,K04841
D00740,K04841
D02081,K04142
D02950,K04149
D07458,K04149
